,molecule_chembl_id,pKi,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
411,CHEMBL4858117,6.781202001888262,303.038770656,0.13333333333333333,3,0,2,5,20,4,0,57.93,0.8112786695502334,3.488800000000002,2.2277660701167132,0,0,0,2,0,2,0,0,0
412,CHEMBL4868918,6.830031826003108,346.030906316,0.2,2,0,2,7,22,4,0,34.14,0.7567496077732279,4.635920000000003,2.212184126417526,0,0,0,2,0,2,0,0,0
413,CHEMBL4860610,6.702896349850743,362.02582093600006,0.2,3,0,2,8,23,5,0,43.370000000000005,0.7339594597792458,4.515720000000003,2.272056256490316,0,0,0,2,0,2,0,0,0
414,CHEMBL4875944,6.660151216962364,308.05408637200003,0.2,3,0,2,5,20,5,0,43.370000000000005,0.7912361296575032,3.625720000000003,2.024366070116713,0,0,0,2,0,2,0,0,0
415,CHEMBL4871975,7.59176003468815,320.09047188,0.29411764705882354,2,0,2,4,21,5,0,34.14,0.7461936206301543,4.7405200000000045,2.128871471891056,0,0,0,2,0,2,0,0,0
416,CHEMBL4852721,6.803271277376713,334.106121944,0.3333333333333333,2,0,2,4,22,4,0,34.14,0.7446970893228468,4.914620000000005,2.1793572033406026,0,0,0,2,0,2,0,0,0
417,CHEMBL4856400,7.638083381331357,641.2454940040002,0.4117647058823529,6,5,6,9,43,11,0,95.83000000000001,0.0989192347683144,7.867600000000005,5.820165392956953,0,2,2,2,2,4,0,0,0
418,CHEMBL4849905,6.920818753952375,426.278347088,0.42857142857142855,4,1,5,4,32,6,0,41.05,0.5459035755576623,5.7366000000000055,2.4031828962420896,1,1,2,2,1,3,0,1,1
419,CHEMBL5089821,4.508638306165727,511.1454013879999,0.4166666666666667,9,1,5,12,36,4,0,109.52000000000002,0.6159349702581665,1.5168999999999995,5.54137696739284,0,3,3,2,0,2,0,0,0
420,CHEMBL5076804,5.200659450546418,509.1297513239999,0.4166666666666667,9,0,6,12,36,2,0,98.52000000000002,0.5665628824414981,1.8824999999999994,5.679704424221725,0,4,4,2,0,2,0,0,0
421,CHEMBL5080190,4.87942606879415,396.1441638440899,0.3181818181818182,7,1,5,7,29,4,0,70.26000000000002,0.6839694288681741,2.597200000000001,3.2832295183701605,0,2,2,2,1,3,0,0,0
422,CHEMBL5085317,4.863279432843593,397.152537456,0.45454545454545453,7,0,6,7,29,2,0,58.62000000000001,0.77221139353125,2.9545000000000012,3.6234861824858333,0,4,4,2,0,2,0,0,0
423,CHEMBL5082824,5.698970004336019,417.17516471999994,0.34782608695652173,5,1,3,7,30,10,0,62.910000000000004,0.49739125548517155,4.341400000000004,2.4746771096612683,0,0,0,2,1,3,0,0,0
424,CHEMBL5194943,7.09366495819491,460.98673085200005,0.10526315789473684,5,2,4,8,27,4,0,75.76,0.619945133130807,4.513700000000004,2.7696462155745625,0,1,1,2,1,3,0,0,0
425,CHEMBL5177448,4.455931955649724,461.9702282040001,0.2,6,3,2,9,24,6,0,83.44000000000001,0.1936876185062044,-5.593999999999994,3.5810664578361724,0,0,0,0,2,2,0,0,0
426,CHEMBL5171026,4.552841968657781,479.96080639200005,0.2,6,3,2,10,25,6,0,83.44000000000001,0.18670554216276272,-5.454899999999994,3.762082005407411,0,0,0,0,2,2,0,0,0
427,CHEMBL5173381,4.356547323513812,475.9858782680001,0.25,6,3,2,9,25,7,0,83.44000000000001,0.13729984216913255,-5.203899999999994,3.540107493352302,0,0,0,0,2,2,0,0,0
428,CHEMBL5184063,4.200659450546418,493.97645645600005,0.25,6,3,2,10,26,7,0,83.44000000000001,0.13242576358010272,-5.064799999999994,3.7168502252496145,0,0,0,0,2,2,0,0,0
429,CHEMBL595504,4.443697499232713,473.9702282040001,0.125,6,3,2,9,25,6,0,83.44000000000001,0.1436285882526714,-5.427899999999994,3.9027175966818097,0,0,0,0,2,2,0,0,0
430,CHEMBL5206644,4.167491087293763,491.96080639200005,0.125,6,3,2,10,26,6,0,83.44000000000001,0.13848711503428152,-5.288799999999994,4.052153904179381,0,0,0,0,2,2,0,0,0
431,CHEMBL3758997,5.5951662833800615,431.87788737999995,0.0,5,3,2,8,21,3,0,92.75000000000001,0.7267187552260902,3.3152000000000017,2.459035523266177,0,0,0,2,0,2,0,0,0
432,CHEMBL5196990,7.1095789811990855,355.983025376,0.07692307692307693,5,4,2,7,20,4,0,92.42,0.7836053899137541,2.414200000000001,2.0218604107760534,0,0,0,2,0,2,0,0,0
433,CHEMBL5181066,7.6777807052660805,387.92840295999997,0.0,5,3,2,8,21,3,0,92.75000000000001,0.7894294163459662,3.206100000000001,2.4321934180030187,0,0,0,2,0,2,0,0,0
434,CHEMBL5170213,7.678194516142461,312.03354095599997,0.07692307692307693,5,4,2,7,20,4,0,92.42,0.807393035715163,2.3051000000000004,1.9640136974893405,0,0,0,2,0,2,0,0,0
435,CHEMBL433041,7.0,359.2572772960001,0.6666666666666666,5,1,3,5,26,7,0,44.81,0.7441546076205052,4.114500000000003,3.3006679812462068,0,2,2,1,0,1,0,1,1
436,CHEMBL5219123,9.58335949266172,327.147058152,0.3157894736842105,5,1,3,5,24,5,0,56.790000000000006,0.9166916155947024,3.0974000000000013,2.5501706575180734,1,0,1,2,0,2,0,0,0
437,CHEMBL5220695,6.920818753952375,377.23145647200005,0.6,7,3,2,7,27,6,0,90.89999999999999,0.5223843641671622,3.3450000000000015,2.079621346453406,0,1,1,1,0,1,0,1,1
438,CHEMBL5219239,6.769551078621726,391.247106536,0.6190476190476191,7,3,2,7,28,6,0,90.9,0.5076392646799559,3.7335000000000025,2.6516464797178845,0,1,1,1,0,1,0,1,1
439,CHEMBL5218804,9.578396073130168,311.152143532,0.3157894736842105,4,1,3,4,23,4,0,47.56,0.9401471989083149,3.478900000000002,2.423278205546465,1,0,1,2,0,2,0,0,0
440,CHEMBL5219425,5.455931955649724,368.09607604000007,0.9230769230769231,4,0,2,5,18,3,0,29.540000000000003,0.4584132488309809,-1.2923999999999967,4.476639272676961,0,2,2,0,0,0,0,2,2
441,CHEMBL193996,6.0,246.136827816,0.5,4,1,4,4,18,2,0,41.57,0.8704308491340179,2.3293,3.2236524257974235,0,3,3,1,0,1,0,3,3
